age_at_marriage,marriage_duration_years,num_children,education_level,employment_status,combined_income,religious_compatibility,cultural_background_match,communication_score,conflict_frequency,conflict_resolution_style,financial_stress_level,mental_health_issues,infidelity_occurred,counseling_attended,social_support,shared_hobbies_count,marriage_type,pre_marital_cohabitation,domestic_violence_history,trust_score,divorced
30,1,1,Bachelor,Full-time,64001,Different Religion,1,5.53601565269751,3,Collaborative,6.02635536556518,0,0,0,8.42818342947142,5,Love,1,0,6.26241058653107,1
27,2,2,Master,Full-time,86221,Same Religion,1,5.81017186347936,3,Aggressive,1,0,1,0,5.297221031546,1,Love,1,0,6.76938365741709,1
31,6,0,High School,Part-time,69441,Same Religion,0,6.08814584832995,3,Collaborative,3.19927522608295,0,0,0,5.88706599418797,1,Arranged,1,0,5.53286646295244,1
35,3,2,Bachelor,Full-time,69513,Not Religious,1,6.21204608773313,3,Aggressive,4.89363269026013,0,0,0,5.26355470951291,5,Love,1,0,3.49126410267768,0
26,2,2,No Formal Education,Full-time,63986,Different Religion,1,4.82626181568706,1,Passive,9.43115390361161,0,0,1,5.77125924883183,4,Love,1,0,10,1
26,10,0,High School,Full-time,44605,Same Religion,0,6.82596372181053,3,Collaborative,9.11826755710532,0,0,0,6.90934990538575,3,Love,1,0,4.62814850816236,0
35,10,2,High School,Full-time,73454,Different Religion,1,3.77549147211771,1,Passive,1,0,0,0,7.35137487257373,1,Love,1,0,5.75393227880453,0
31,17,1,High School,Unemployed,59491,Not Religious,1,6.61302130631353,4,Aggressive,1.82236611978457,0,0,0,8.70981272532502,2,Love,0,0,7.01055945394902,1
25,5,1,Bachelor,Full-time,40944,Not Religious,0,2.96334502961453,0,Collaborative,5.36188246392515,0,0,0,8.72748942077621,3,Arranged,1,0,2.42838499519759,0
30,1,0,PhD,Full-time,46819,Same Religion,1,3.61210860193304,1,Collaborative,6.57548564630842,1,0,0,5.93928461561006,1,Arranged,1,0,8.75067633570072,1
25,3,4,Bachelor,Part-time,37276,Same Religion,0,4.56504774586561,1,Collaborative,3.35396706842925,0,0,0,4.60976369462744,2,Love,0,0,4.24035885380041,0
25,39,2,Bachelor,Unemployed,81193,Different Religion,1,6.38906766479213,0,Collaborative,6.29382333469055,1,0,0,6.51287827293668,3,Arranged,1,0,7.76714353569893,0
29,9,3,Bachelor,Full-time,99575,Same Religion,1,6.47166082454516,2,Collaborative,3.3399440286836,0,0,1,5.00027365108577,4,Arranged,0,0,3.20330659569338,1
18,12,2,Bachelor,Full-time,83103,Not Religious,1,4.29866157256179,1,Collaborative,3.51909915220424,0,1,0,7.50523796594578,6,Arranged,1,0,7.33985437742813,0
19,1,3,Bachelor,Homemaker,67524,Same Religion,1,3.16269989189195,4,Passive,2.21201330963121,0,0,1,8.52542901391969,4,Arranged,0,0,2.18285475741241,1
25,7,2,High School,Full-time,58690,Same Religion,1,8.41201906372067,0,Avoidant,1.58010029369607,0,0,0,7.2190456371352,0,Arranged,1,0,8.56799972261992,1
22,1,0,Bachelor,Homemaker,54181,Not Religious,0,6.13344060346702,3,Avoidant,3.73671631628805,1,0,0,6.43089135588407,0,Arranged,1,0,6.73269614946254,0
