obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
1.23766e+18,135.6891066,32.49463184,23.87882,22.2753,20.39501,19.16573,18.79371,3606.0,301.0,2.0,79.0,6.54378e+18,1.0,0.6347936,5812.0,56354.0,171.0
1.23766e+18,144.8261006,31.27418489,24.77759,22.83188,22.58444,21.16812,21.61427,4518.0,301.0,5.0,119.0,1.17601e+19,1.0,0.779136,10445.0,58158.0,427.0
1.23766e+18,142.1887896,35.58244418,25.26307,22.66389,20.60976,19.34857,18.94827,3606.0,301.0,2.0,120.0,5.1522e+18,1.0,0.6441945,4576.0,55592.0,299.0
1.23766e+18,338.7410378,-0.402827575,22.13682,23.77656,21.61162,20.50454,19.2501,4192.0,301.0,3.0,214.0,1.03011e+19,1.0,0.9323456,9149.0,58039.0,775.0
1.23768e+18,345.2825932,21.1838656,19.43718,17.58028,16.49747,15.97711,15.54461,8102.0,301.0,3.0,137.0,6.89186e+18,1.0,0.1161227,6121.0,56187.0,842.0
1.23768e+18,340.9951205,20.58947628,23.48827,23.33776,21.32195,20.25615,19.54544,8102.0,301.0,3.0,110.0,5.65898e+18,0.0,1.424659,5026.0,55855.0,741.0
1.23768e+18,23.23492643,11.41818762,21.46973,21.17624,20.92829,20.60826,20.42573,7773.0,301.0,2.0,462.0,1.25e+19,0.0,0.5864546,11069.0,58456.0,113.0
1.23768e+18,5.433176037,12.06518599,22.24979,22.02172,20.34126,19.48794,18.84999,7773.0,301.0,2.0,346.0,6.96144e+18,1.0,0.477009,6183.0,56210.0,15.0
1.23766e+18,200.2904754,47.19940232,24.40286,22.35669,20.61032,19.4649,18.95852,3716.0,301.0,5.0,108.0,7.45928e+18,1.0,0.660012,6625.0,56386.0,719.0
1.23767e+18,39.1496906,28.10284161,21.74669,20.03493,19.17553,18.81823,18.65422,5934.0,301.0,4.0,122.0,2.75176e+18,0.0,-7.9e-06,2444.0,54082.0,232.0
1.23768e+18,328.0920762,18.22031048,25.77163,22.52042,20.63884,19.78071,19.05765,8102.0,301.0,3.0,27.0,5.65216e+18,1.0,0.4595958,5020.0,55852.0,525.0
1.23766e+18,243.9866375,25.73828043,23.76761,23.79969,20.98318,19.80745,19.45579,3927.0,301.0,4.0,112.0,5.32236e+18,1.0,0.5914091,4727.0,55693.0,855.0
1.23768e+18,345.8018744,32.67286785,23.17274,20.14496,19.41948,19.22034,18.89359,8157.0,301.0,2.0,38.0,7.32301e+18,0.0,7.18e-05,6504.0,56540.0,574.0
1.23768e+18,331.50203,10.03580205,20.8294,18.75091,17.51118,17.01631,16.62772,7773.0,301.0,2.0,123.0,5.70274e+18,1.0,0.1521936,5065.0,55739.0,200.0
1.23766e+18,344.9847703,-0.352615781,23.20911,22.79291,22.08589,21.86282,21.8512,4192.0,301.0,3.0,255.0,1.03754e+19,1.0,0.8181597,9215.0,57682.0,796.0
1.23766e+18,244.8245231,25.15456399,24.8868,22.13311,20.44728,19.49171,18.9747,3927.0,301.0,4.0,118.0,5.32214e+18,1.0,0.4849288,4727.0,55693.0,23.0
1.23768e+18,353.2015224,3.080795936,24.5489,21.44267,20.95315,20.7936,20.48442,7712.0,301.0,5.0,284.0,4.82228e+18,0.0,-0.000428576,4283.0,55864.0,178.0
1.23768e+18,1.494388639,3.29174633,20.38562,20.40514,20.29996,20.05918,19.89044,7712.0,301.0,5.0,339.0,9.84382e+18,0.0,2.031528,8743.0,57663.0,295.0
1.23768e+18,14.38313522,3.214326196,21.82154,20.5573,19.94918,19.76057,19.55514,7712.0,301.0,5.0,425.0,9.85507e+18,0.0,-0.000440276,8753.0,57373.0,258.0
1.23765e+18,167.1316688,67.33993563,20.48292,18.67807,17.6168,17.11936,16.73351,1412.0,301.0,5.0,124.0,5.51859e+17,1.0,0.1115879,490.0,51929.0,613.0
1.23765e+18,171.9754246,67.74745014,22.13367,20.84772,18.96537,18.31696,17.98124,1412.0,301.0,5.0,136.0,5.52974e+17,1.0,0.3747563,491.0,51942.0,572.0
1.23766e+18,144.7852927,46.82649568,24.54793,22.33601,20.92259,19.87177,19.16934,2821.0,301.0,2.0,28.0,8.23729e+18,0.0,-0.000120359,7316.0,56710.0,756.0
