Student_ID,Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Sleep_Quality,Weekday_Sleep_Start,Weekend_Sleep_Start,Weekday_Sleep_End,Weekend_Sleep_End
1,24,0,0,7.7,7.9,3.4,2,37,1,14.16,4.05,7.41,7.06
2,21,1,1,6.3,6.0,1.9,5,74,0,8.73,7.1,8.21,10.21
3,22,1,2,5.1,6.7,3.9,5,53,0,20.0,20.47,6.88,10.92
4,24,0,2,6.3,8.6,2.8,4,55,1,19.82,4.08,6.69,9.42
5,20,1,2,4.7,2.7,2.7,0,85,0,20.98,6.12,8.98,9.01
6,25,0,1,4.9,12.0,3.2,3,96,1,9.8,18.83,5.04,10.51
7,22,2,0,6.5,11.7,3.4,1,99,1,13.05,20.96,8.58,10.81
8,22,1,0,6.1,7.8,3.0,1,108,0,10.49,10.85,5.6,10.02
9,24,2,1,8.6,2.4,1.4,1,86,1,11.06,18.88,8.14,8.78
10,19,0,0,5.8,8.2,2.0,3,44,1,14.65,5.31,7.47,9.37
11,20,2,1,6.9,0.9,3.8,5,108,1,7.77,14.83,6.37,9.8
12,24,2,0,7.2,0.4,1.7,0,33,0,6.07,3.74,8.5,7.78
13,20,0,3,4.1,3.1,2.1,3,8,1,21.69,10.69,5.05,8.79
14,20,2,3,7.3,5.6,2.3,1,87,0,17.65,18.35,5.91,10.32
15,25,2,2,4.9,10.4,2.3,4,7,1,7.02,19.21,7.27,9.62
16,22,0,3,8.8,8.7,2.8,2,6,0,13.88,10.47,6.41,8.64
17,21,2,3,4.7,8.9,3.8,3,35,1,8.09,6.76,7.44,9.65
18,25,0,3,6.1,5.1,1.7,3,17,1,14.71,6.37,5.1,7.47
19,25,2,1,4.4,4.2,1.4,0,2,1,13.79,16.48,5.47,8.61
20,20,0,3,9.0,4.5,1.6,0,27,0,18.67,17.92,5.51,10.17
21,23,0,3,6.5,11.9,3.7,3,69,1,16.58,21.66,5.76,7.88
22,22,2,2,7.0,0.5,2.9,1,107,0,9.29,8.42,6.84,7.74
23,19,2,3,4.3,10.4,1.9,2,43,1,12.9,20.47,8.01,10.8
24,25,2,3,7.7,6.9,3.4,0,20,1,5.74,13.58,8.62,7.84
25,21,1,0,5.0,5.3,3.6,1,27,1,4.1,9.97,8.34,8.04
26,23,1,2,8.5,8.7,3.5,4,103,0,10.63,3.26,5.79,10.88
27,23,1,2,5.0,5.8,3.8,0,53,0,6.08,15.76,6.76,9.94
28,19,0,2,5.0,10.5,1.8,1,53,0,15.56,17.0,5.8,9.8
29,25,2,2,4.2,10.8,3.3,1,64,1,13.29,8.92,6.06,10.41
30,21,0,2,6.4,5.1,2.4,2,99,0,7.03,9.62,7.01,7.46
31,22,1,2,6.8,3.3,3.5,2,20,0,13.89,15.36,5.27,9.82
32,18,2,1,4.3,7.1,3.2,4,106,1,9.64,3.44,5.87,9.01
33,21,0,3,7.9,10.9,3.3,1,98,0,18.11,5.1,8.74,10.32
34,19,2,2,6.3,2.5,3.0,5,12,0,9.4,17.52,6.86,9.03
35,23,0,3,6.6,7.5,1.5,1,56,1,3.91,17.22,6.78,9.48
36,22,2,3,6.2,7.6,2.6,2,48,0,3.76,11.75,5.06,8.91
37,21,1,1,6.0,8.8,4.0,5,117,0,6.79,6.53,5.99,8.91
38,18,1,2,6.8,1.6,3.8,0,53,0,6.34,21.12,8.47,10.07
39,18,2,0,4.8,8.6,1.1,0,9,1,10.28,8.13,5.66,9.51
40,20,0,1,4.9,10.9,1.5,3,52,1,9.72,9.04,6.66,9.53
41,20,1,0,8.3,2.2,1.4,2,43,0,19.19,17.37,5.06,8.8
42,24,1,3,8.7,2.9,3.2,3,46,1,12.68,8.37,6.91,9.12
43,19,1,3,5.9,11.7,3.5,5,52,1,12.53,3.2,5.08,9.98
44,25,2,1,5.4,2.2,1.6,2,73,1,1.87,21.06,8.28,10.3
45,21,2,1,7.2,10.3,2.5,4,45,0,12.95,15.61,8.3,9.79
46,21,0,0,6.0,5.9,3.5,1,12,1,10.46,13.24,8.15,10.7
47,25,0,2,4.1,3.0,3.2,4,36,1,10.8,4.01,6.13,10.28
48,24,0,0,4.8,10.4,2.6,5,101,1,8.63,2.75,8.35,9.25
49,23,2,1,7.6,5.3,2.8,2,23,1,6.29,13.12,7.17,9.69
50,23,2,0,7.3,6.2,2.5,5,1,0,17.27,7.0,6.5,10.71
51,24,0,1,4.1,4.3,1.9,1,85,0,10.9,11.37,7.5,9.48
52,23,0,0,5.1,7.1,2.7,0,80,1,4.66,11.24,5.05,10.3
53,20,2,1,5.2,2.0,3.1,0,99,1,12.27,16.44,5.57,9.76
54,21,0,1,7.4,4.7,3.6,5,13,1,16.15,17.66,7.97,9.21
55,24,1,1,4.1,11.6,2.9,3,9,1,8.25,16.24,5.98,7.97
56,21,2,2,4.5,3.1,3.3,2,34,0,4.7,10.87,7.39,8.7
57,25,0,0,8.0,7.9,1.5,2,24,0,20.67,21.42,6.54,10.87
58,18,2,0,4.9,3.9,2.4,0,2,0,5.69,3.86,8.42,9.63
59,20,1,0,7.3,9.3,1.0,4,110,0,4.75,18.87,8.81,9.26
60,22,2,1,5.2,1.6,1.7,1,101,0,12.31,17.6,8.53,10.73
61,20,2,0,4.5,11.6,3.2,4,16,0,1.35,11.63,6.08,9.35
62,24,2,0,5.2,5.4,4.0,4,11,1,5.48,7.8,5.78,9.1
63,22,2,1,7.6,2.8,1.3,5,53,0,5.75,20.09,6.9,10.04
64,18,1,3,8.3,0.9,2.2,0,115,0,6.3,15.65,5.03,9.85
65,24,2,1,8.2,2.0,3.4,0,23,0,18.84,2.63,5.1,7.77
66,19,2,0,6.0,6.2,1.6,0,28,1,17.44,16.75,7.21,8.89
67,21,0,1,7.3,4.0,2.7,5,42,0,12.26,15.74,7.08,8.89
68,18,2,3,5.0,9.9,3.2,3,24,0,16.46,5.27,8.98,8.51
69,21,0,1,5.5,5.2,2.8,4,99,0,13.28,21.0,5.81,9.07
70,23,1,0,8.5,3.0,1.6,5,59,0,3.34,12.71,6.03,8.65
71,19,1,3,4.1,7.4,2.1,2,89,0,4.69,14.41,5.45,7.8
72,19,1,2,4.4,8.5,3.4,1,101,0,8.77,15.67,8.67,8.65
73,18,1,0,5.0,2.0,2.7,3,64,0,3.98,16.29,8.11,7.29
74,19,0,3,4.1,2.0,1.0,2,83,1,5.54,20.17,8.29,9.3
75,22,2,3,4.9,0.4,3.3,4,118,1,12.99,15.7,8.61,10.41
76,19,1,2,6.9,8.8,1.1,0,27,0,17.78,21.14,7.1,9.9
77,21,2,1,6.1,8.0,3.2,4,15,0,11.2,6.38,6.8,8.44
78,21,0,1,8.5,5.7,1.6,5,46,1,6.54,14.04,6.32,7.35
79,24,0,0,8.1,10.1,3.9,1,80,0,12.84,13.12,7.36,7.81
80,21,0,2,5.7,9.7,2.1,5,103,1,8.0,4.13,6.82,9.18
81,24,1,1,5.3,7.0,2.0,3,91,0,20.02,8.84,6.81,7.83
82,21,2,2,5.9,10.4,1.4,3,57,1,6.29,21.84,8.75,9.18
83,22,2,1,7.0,2.5,1.9,1,75,1,4.93,3.14,8.94,7.93
84,25,2,3,5.3,1.3,3.6,2,26,0,7.16,17.26,8.19,10.4
85,24,0,1,7.1,3.2,4.0,2,117,0,1.69,19.85,8.03,8.59
86,20,1,2,6.0,0.7,2.1,3,52,1,4.64,6.64,7.72,7.98
87,23,0,3,6.8,6.4,2.3,3,41,0,3.04,11.99,5.66,10.25
88,18,0,3,6.2,11.2,3.2,0,58,0,2.4,13.32,5.24,8.37
89,21,2,3,5.5,0.5,3.7,2,46,0,5.17,17.01,7.76,7.45
90,19,0,2,8.7,1.5,2.8,1,93,0,7.84,11.05,7.92,9.28
91,25,2,0,7.8,5.4,2.2,2,104,1,21.88,16.51,5.19,9.33
92,21,1,0,4.7,11.2,2.2,0,33,1,12.22,3.97,8.71,9.86
93,19,2,0,8.3,3.8,3.1,5,36,0,10.01,17.7,5.36,7.96
94,23,1,2,6.4,6.1,1.0,3,5,0,15.62,4.31,6.14,8.78
95,23,2,3,8.5,0.5,2.9,3,6,1,15.32,10.81,7.69,8.13
